strategy,task_id,candidate_id,checked_order,accepted_by_policy,hidden_oracle_pass,semantic_regression,p_reg,cost,outcome_L0,outcome_L1,outcome_L2,outcome_L3
Zero-shot,C:/Users/zormi/Desktop/test gpt2/test_for_refactoring/benchmark.py::dump_jsonl:32-36::29d5b62d,6d18f0834d6efa67,1,True,True,0,0.00015670014545321465,1.0,True,,,
Zero-shot,C:/Users/zormi/Desktop/test gpt2/test_for_refactoring/benchmark.py::load_jsonl:39-41::20c393be,242374d149c14fd6,1,True,True,0,0.00013527121336665004,1.0,True,,,
Zero-shot,C:/Users/zormi/Desktop/test gpt2/test_for_refactoring/benchmark.py::build_ordinary_refactor_prompt:48-64::4b1371eb,552c8d3cbbcda4b5,1,True,True,0,0.009768218733370304,1.0,True,,,
Zero-shot,C:/Users/zormi/Desktop/test gpt2/test_for_refactoring/benchmark.py::build_guarded_refactor_prompt:67-85::1a745918,809bdf3379cc3d01,1,True,True,0,0.0006281640380620956,1.0,True,,,
Zero-shot,C:/Users/zormi/Desktop/test gpt2/test_for_refactoring/benchmark.py::build_feedback_text:92-107::ae986563,e6952aaa03a6175b,1,True,False,1,0.14542007446289062,1.0,True,,,
Zero-shot,C:/Users/zormi/Desktop/test gpt2/test_for_refactoring/benchmark.py::build_repair_prompt:110-133::46526e3c,6471c7c9de08371e,1,True,True,0,0.007675463333725929,1.0,True,,,
Zero-shot,C:/Users/zormi/Desktop/test gpt2/test_for_refactoring/benchmark.py::extract_generated_code:136-147::873bfea7,d8e3a0ae4ae0969a,1,True,True,0,0.0020273050758987665,1.0,True,,,
Zero-shot,C:/Users/zormi/Desktop/test gpt2/test_for_refactoring/benchmark.py::run_code_on_case:150-158::9b24b1d3,aac316d68bbcf60a,1,True,False,1,0.5959668159484863,1.0,True,,,
Zero-shot,C:/Users/zormi/Desktop/test gpt2/test_for_refactoring/benchmark.py::find_first_failure:161-168::59679dd0,b070a95940479e32,1,True,False,1,0.18953606486320496,1.0,True,,,
Zero-shot,C:/Users/zormi/Desktop/test gpt2/test_for_refactoring/benchmark.py::make_discount_threshold_task:179-283::8da6c0ea,3f55b3170759f4b2,1,False,True,0,0.005361772142350674,1.0,True,,,
